movie_id,movie_title,domestic_total_gross,foreign_total_gross,opening_weekend,opening_weekend_limited,opening_weekend_wide,release_date,close_date,in_release_days,runtime_mins,rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers
starwars7,Star Wars: The Force Awakens,936662225,1131561399,247966675,,,2015-12-18,2016-06-17,168,136,PG-13,Sci-Fi Fantasy,Buena Vista,J.J. Abrams,"J.J. Abrams,Bryan Burk,Kathleen Kennedy",$245 million,"4,134","John Boyega,Daisy Ridley,Adam Driver,Oscar Isaac,Andy Serkis,Domhnall Gleeson,Max von Sydow,Harrison Ford,Carrie Fisher,Mark Hamill,Anthony Daniels,Peter Mayhew,Kenny Baker,Warwick Davis,Lupita Nyong'o","J.J. Abrams,Michael Arndt,Lawrence Kasdan",,John Williams
jurassicpark4,Jurassic World,652270625,1018130012,208806270,,,2015-06-12,2016-11-17,,124,PG-13,Action / Adventure,Universal,Colin Trevorrow,"Patrick Crowley,Jon Jashni, ,(executive),Frank Marshall,Steven Spielberg, ,(executive),Thomas Tull, ,(executive)",$150 million,"4,291","Nick Robinson,Omar Sy,Chris Pratt,Bryce Dallas Howard,Jake Johnson,Vincent D'Onofrio,Irrfan Khan,Judy Greer","Derek Connolly,Rick Jaffa,Amanda Silver,Colin Trevorrow",,Michael Giacchino
avengers2,Avengers: Age of Ultron,459005868,946397826,191271109,,,2015-05-01,2016-10-17,161,141,PG-13,Action / Adventure,Buena Vista,Joss Whedon,"Victoria Alonso, ,(executive),Louis D'Esposito, ,(executive),Jon Favreau, ,(executive),Kevin Feige,Alan Fine, ,(executive),Jeremy Latcham ,(executive),Stan Lee, ,(executive)",$250 million,"4,276","Robert Downey, Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson,Jeremy Renner,Don Cheadle,Aaron Johnson,Elizabeth Olsen,Paul Bettany,Cobie Smulders,Anthony Mackie,Hayley Atwell,Idris Elba,Stellan Skarsgard,James Spader ,(Voice),Samuel L. Jackson,Josh Brolin, ,(Voice),Andy Serkis*, ,(Cameo)",Joss Whedon,,"Danny Elfman,Brian Tyler"
pixar2014,Inside Out,356461711,501149463,90440272,,,2015-06-19,2016-12-17,175,94,PG,Animation,Buena Vista,Pete Docter,"John Lasseter, ,(executive),Jonas Rivera",$175 million,"4,158","Amy Poehler ,(Voice),Bill Hader ,(Voice),Mindy Kaling, ,(Voice),Phyllis Smith ,(Voice),Lewis Black ,(Voice),Diane Lane, ,(Voice),Kyle MacLachlan ,(Voice)","Josh Cooley,Pete Docter,Meg LaFauve",,Michael Giacchino
fast7,Furious 7,353007020,1163038891,147187040,,,2015-04-03,2016-07-17,,137,PG-13,Action,Universal,James Wan,"Vin Diesel,Neal H. Moritz,Thomas Tull, ,(executive)",$190 million,"4,022","Tony Jaa,Vin Diesel,Paul Walker,Dwayne Johnson,Michelle Rodriguez,Jordana Brewster,Tyrese Gibson,Chris 'Ludacris' Bridges,Lucas Black,Jason Statham,Djimon Hounsou,Kurt Russell",Chris Morgan,,Brian Tyler
americansniper,American Sniper,350126372,197300000,,633456,89269066,2014-12-25,2016-06-17,183,132,R,Drama,Warner Bros.,Clint Eastwood,"Bradley Cooper,Clint Eastwood,Jason Dean Hall, ,(executive),Andrew Lazar,Robert Lorenz,Tim Moore, ,(executive)",$58.8 million,"3,885","Bradley Cooper,Kyle Gallner,Sienna Miller",Jason Dean Hall,,
minions,Minions,336045770,823352627,115718405,,,2015-07-10,2016-12-17,161,91,PG,Animation,Universal,Pierre Coffin,"Janet Healy,Christopher Meledandri,Chris Renaud, ,(executive)",$74 million,"4,311","Sandra Bullock, ,(Voice),Jon Hamm, ,(Voice),Michael Keaton, ,(Voice),Allison Janney ,(Voice),Steve Coogan, ,(Voice)",Brian Lynch,,Heitor Pereira
hungergames4,The Hunger Games: Mockingjay - Part 2,281723902,371704359,102665981,,,2015-11-20,2016-02-17,98,137,PG-13,Action / Adventure,Lionsgate,Francis Lawrence,,$160 million,"4,175","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Donald Sutherland,Philip Seymour Hoffman,Julianne Moore,Sam Claflin,Elizabeth Banks,Jena Malone,Jeffrey Wright,Stanley Tucci","Peter Craig,Danny Strong",,James Newton Howard
scott2016,The Martian,228433663,401728227,54308575,,,2015-10-02,2016-03-17,168,141,PG-13,Sci-Fi,Fox,Ridley Scott,"Mark Huffam,Simon Kinberg,Michael Schaefer,Ridley Scott,Aditya Sood",$108 million,"3,854","Sean Bean,Jessica Chastain,Matt Damon,Jeff Daniels,Chiwetel Ejiofor,Donald Glover,Kate Mara,Michael Pena,Sebastian Stan,Kristen Wiig",Drew Goddard,Dariusz Wolski,Harry Gregson-Williams
cinderella2015,Cinderella (2015),201151353,342363000,67877361,,,2015-03-13,2016-09-17,189,112,PG,Fantasy,Buena Vista,Kenneth Branagh,Simon Kinberg,$95 million,"3,848","Lily James,Richard Madden,Cate Blanchett,Helena Bonham Carter,Stellan Skarsgard,Hayley Atwell",Chris Weitz,,
