,movie_id,movie_title,domestic_total_gross,foreign_total_gross,opening_weekend,opening_weekend_limited,opening_weekend_wide,release_date,close_date,in_release_days,runtime_mins,rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers,actorlist,winner,nomination
104,paranormalactivity2014,Paranormal Activity: The Ghost Dimension,18300124.0,59799429,8070493.0,,,2015-10-23,2016-11-17,33.0,95.0,R,Horror,Paramount,,"Jason Blum,Oren Peli",$10 million,"1,656",,,,,['nan'],0.0,0.0
105,jobs2015,Steve Jobs,17766658.0,16675215,,521522.0,7105735.0,2015-10-09,2016-12-17,63.0,122.0,R,Drama,Universal,Danny Boyle,Scott Rudin,$30 million,"2,493","Michael Fassbender,Kate Winslet,Seth Rogen,Jeff Daniels",Aaron Sorkin,,Daniel Pemberton,"['Michael Fassbender', 'Kate Winslet', 'Seth Rogen', 'Jeff Daniels']",1.0,8.0
106,mr.holmes,Mr. Holmes,17737646.0,11617557,,2434908.0,2752132.0,2015-07-17,2016-11-17,112.0,103.0,PG,Crime Drama,Roadside Attractions,Bill Condon,,,898,"Laura Linney,Ian McKellen",,,Carter Burwell,"['Laura Linney', 'Ian McKellen']",0.0,5.0
107,dope,Dope,17506470.0,480311,6100010.0,,,2015-06-19,2016-09-17,91.0,115.0,R,Comedy / Drama,Open Road Films,,,$7 million,"2,002","Tony Revolori,Keith Stanfield",,,Germaine Franco,"['Tony Revolori', 'Keith Stanfield']",0.0,0.0
108,seventhson,Seventh Son,17223265.0,96955348,7217640.0,,,2015-02-06,2016-03-17,42.0,102.0,PG-13,Fantasy,Universal,Sergei Bodrov,"Basil Iwanyk,Jon Jashni, ,(executive),Thomas Tull",$95 million,"2,875","Jeff Bridges,Julianne Moore,Ben Barnes,Kit Harington,Alicia Vikander,Djimon Hounsou,Olivia Williams","Steven Knight,Charles Leavitt",,Marco Beltrami,"['Jeff Bridges', 'Julianne Moore', 'Ben Barnes', 'Kit Harington', 'Alicia Vikander', 'Djimon Hounsou', 'Olivia Williams']",3.0,11.0
109,monkeykingdom,Monkey Kingdom,16432322.0,711000,4577861.0,,,2015-04-17,2016-07-17,98.0,81.0,G,Documentary,Buena Vista,,,,"2,012",,,,,['nan'],0.0,0.0
110,transporter4,The Transporter Refueled,16029670.0,56600000,7355622.0,,,2015-09-04,2016-11-17,77.0,96.0,PG-13,Action,EuropaCorp,Camille Delamarre,,,"3,434",Ed Skrein,,,,['Ed Skrein'],0.0,0.0
111,itfollows,It Follows,14674076.0,n/a,,160089.0,3811052.0,2015-03-13,2016-06-17,105.0,97.0,R,Horror,Radius-TWC,,,,"1,655",Maika Monroe,,,,['Maika Monroe'],0.0,0.0
112,americanultra,American Ultra,14440985.0,12698539,5454284.0,,,2015-08-21,2016-10-17,49.0,96.0,R,Action Comedy,Lionsgate,Nima Nourizadeh,,$28 million,"2,778","Jesse Eisenberg,Kristen Stewart,Topher Grace,Bill Pullman,Walton Goggins,John Leguizamo,Connie Britton",Max Landis,,,"['Jesse Eisenberg', 'Kristen Stewart', 'Topher Grace', 'Bill Pullman', 'Walton Goggins', 'John Leguizamo', 'Connie Britton']",0.0,1.0
113,woodlawn,Woodlawn,14394097.0,n/a,4002226.0,,,2015-10-16,2016-02-17,119.0,123.0,PG,Drama,Pure Flix,,,,"1,553","Sean Astin,C. Thomas Howell,Jon Voight",,,,"['Sean Astin', 'C. Thomas Howell', 'Jon Voight']",1.0,3.0
