name,meanScore
Sarah Miles,
Carrie Snodgress,
Karen Black,
Sally Kellerman,
Peter Finch,
Topol,
Jeff Bridges,
Leonard Frey,
Richard Jaeckel,
Ben Johnson,
Roy Scheider,
Janet Suzman,
Ann-Margret,
Ellen Burstyn,
Barbara Harris,
Cloris Leachman,
Margaret Leighton,
Paul Winfield,
James Caan,
Robert Duvall,
Joel Grey,
Al Pacino,
Diana Ross,
Cicely Tyson,
Liv Ullmann,
Jeannie Berlin,
Susan Tyrrell,
Robert Redford,
Vincent Gardenia,
Jack Gilford,
John Houseman,
Jason Miller,
Randy Quaid,
Marsha Mason,
Linda Blair,
Candy Clark,
Madeline Kahn,
Tatum O'Neal,
Sylvia Sidney,
Art Carney,
Fred Astaire,
Robert De Niro,
Michael V. Gazzo,
Lee Strasberg,
Diahann Carroll,
Valerie Perrine,
Gena Rowlands,
Valentina Cortese,
Diane Ladd,
Talia Shire,
George Burns,
Brad Dourif,
Burgess Meredith,
Chris Sarandon,
Jack Warden,
Isabelle Adjani,
Louise Fletcher,
Carol Kane,
Ronee Blakley,
Lily Tomlin,
Brenda Vaccaro,
Giancarlo Giannini,
Sylvester Stallone,
Ned Beatty,
Jason Robards,
Burt Young,
Marie-Christine Barrault,
Sissy Spacek,
Jodie Foster,
Beatrice Straight,
Woody Allen,
Richard Dreyfuss,
John Travolta,
Mikhail Baryshnikov,
Peter Firth,
Diane Keaton,
Leslie Browne,
Quinn Cummings,
Melinda Dillon,
Tuesday Weld,
Gary Busey,
Bruce Dern,
Richard Farnsworth,
John Hurt,
Christopher Walken,
Jill Clayburgh,
Penelope Milford,
Meryl Streep,
Frederic Forrest,
Justin Henry,
Sally Field,
Bette Midler,
Barbara Barrie,
Candice Bergen,
Mariel Hemingway,
Judd Hirsch,
Timothy Hutton,
Michael O'Keefe,
Joe Pesci,
Mary Tyler Moore,
Eileen Brennan,
Eva Le Gallienne,
Cathy Moriarty,
Diana Scarwid,
Mary Steenburgen,
Dudley Moore,
James Coco,
Ian Holm,
"Howard E. Rollins, Jr.",
Susan Sarandon,
Joan Hackett,
Elizabeth McGovern,
Ben Kingsley,
Charles Durning,
"Louis Gossett, Jr.",
John Lithgow,
Robert Preston,
Jessica Lange,
Debra Winger,
Glenn Close,
Teri Garr,
Lesley Ann Warren,
Tom Conti,
Sam Shepard,
Rip Torn,
Julie Walters,
Cher,
Linda Hunt,
Amy Irving,
Alfre Woodard,
F. Murray Abraham,
Tom Hulce,
Sam Waterston,
Adolph Caesar,
John Malkovich,
Noriyuki 'Pat' Morita,
Haing S. Ngor,
Judy Davis,
Peggy Ashcroft,
Lindsay Crouse,
Christine Lahti,
Harrison Ford,
James Garner,
William Hurt,
Don Ameche,
Klaus Maria Brandauer,
William Hickey,
Robert Loggia,
Eric Roberts,
Whoopi Goldberg,
Margaret Avery,
Anjelica Huston,
Amy Madigan,
Meg Tilly,
Oprah Winfrey,
Dexter Gordon,
Bob Hoskins,
James Woods,
Tom Berenger,
Willem Dafoe,
Denholm Elliott,
Dennis Hopper,
Marlee Matlin,
Kathleen Turner,
Sigourney Weaver,
Tess Harper,
Mary Elizabeth Mastrantonio,
Dianne Wiest,
Michael Douglas,
Robin Williams,
Albert Brooks,
Sean Connery,
Morgan Freeman,
Denzel Washington,
Holly Hunter,
Sally Kirkland,
Norma Aleandro,
Anne Archer,
Olympia Dukakis,
Anne Ramsey,
Ann Sothern,
Tom Hanks,
Edward James Olmos,
Max von Sydow,
Kevin Kline,
Martin Landau,
River Phoenix,
Dean Stockwell,
Melanie Griffith,
Joan Cusack,
Geena Davis,
Frances McDormand,
Michelle Pfeiffer,
Kenneth Branagh,
Tom Cruise,
Daniel Day Lewis,
Danny Aiello,
Dan Aykroyd,
Pauline Collins,
Jessica Tandy,
Brenda Fricker,
Lena Olin,
Julia Roberts,
Kevin Costner,
